SELECT 16750
CREATE VIEW
2016-12-30,AAPL,321686000000,193437000000,128249000000,115.82,116.730003,0.99
2016-12-30,BDX,25586000000,17953000000,7633000000,165.550003,166.149994,1.00
2016-12-30,DE,57981400000,51461400000,6520000000,103.040001,103.209999,1.00
2016-12-30,EMR,21743000000,14175000000,7568000000,55.75,56.200001,0.99
2016-12-30,MCK,56563000000,47639000000,8924000000,140.449997,141.779999,0.99
2016-12-30,MSFT,193694000000,121697000000,71997000000,62.139999,62.900002,0.99
2016-12-30,NWSA,15483000000,3899000000,11584000000,11.46,11.66,0.98
2016-12-30,SJM,15984100000,8975600000,7008500000,128.059998,129.149994,0.99
2016-12-30,TGT,40262000000,27305000000,12957000000,72.230003,72.620003,0.99
2016-12-30,WMT,199581000000,119035000000,80546000000,69.120003,69.260002,1.00
